file,subject
1801.09279,Functional Analysis (math.FA)
1801.00551,Computational Geometry (cs.CG)
1801.00627,Logic (math.LO)
1801.05394,Learning (cs.LG)
1801.05147,Computation and Language (cs.CL)
1801.08111,Representation Theory (math.RT)
1801.04339,Statistics Theory (math.ST)
1801.08639,Information Theory (cs.IT)
1801.00328,Combinatorics (math.CO)
1801.02152,Number Theory (math.NT)
1801.05132,Robotics (cs.RO)
1801.10603,Information Retrieval (cs.IR)
1801.02190,Computer Vision and Pattern Recognition (cs.CV)
1801.06897,Optimization and Control (math.OC)
1801.00299,Quantum Physics (quant-ph)
1801.02651,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.07923,Disordered Systems and Neural Networks (cond-mat.dis-nn)
1801.01279,Strongly Correlated Electrons (cond-mat.str-el)
1801.01470,Chemical Physics (physics.chem-ph)
1801.03557,Information Theory (cs.IT)
1801.06934,Learning (cs.LG)
1801.06142,Nuclear Theory (nucl-th)
1801.10142,Quantum Physics (quant-ph)
1801.07826,Econometrics (econ.EM)
1801.04980,Fluid Dynamics (physics.flu-dyn)
1801.09466,Artificial Intelligence (cs.AI)
1801.05135,Systems and Control (cs.SY)
1801.02480,Computer Vision and Pattern Recognition (cs.CV)
1801.05666,Quantum Physics (quant-ph)
1801.09136,Machine Learning (stat.ML)
1801.00055,Computer Vision and Pattern Recognition (cs.CV)
1801.05124,Computer Vision and Pattern Recognition (cs.CV)
1801.05204,Networking and Internet Architecture (cs.NI)
1801.08702,Machine Learning (stat.ML)
1801.00362,Computational Finance (q-fin.CP)
1801.02094,Instrumentation and Methods for Astrophysics (astro-ph.IM)
1801.01659,Statistical Mechanics (cond-mat.stat-mech)
1801.06479,Optimization and Control (math.OC)
1801.06164,High Energy Astrophysical Phenomena (astro-ph.HE)
1801.08474,"Data Analysis, Statistics and Probability (physics.data-an)"
1801.07823,High Energy Physics - Lattice (hep-lat)
1801.01448,Operator Algebras (math.OA)
1801.09189,Programming Languages (cs.PL)
1801.02829,Computational Physics (physics.comp-ph)
1801.07452,Optimization and Control (math.OC)
1801.03178,General Relativity and Quantum Cosmology (gr-qc)
1801.08367,High Energy Physics - Phenomenology (hep-ph)
1801.06422,Computation and Language (cs.CL)
1801.00269,Computer Vision and Pattern Recognition (cs.CV)
1801.02249,General Relativity and Quantum Cosmology (gr-qc)
1801.10070,Fluid Dynamics (physics.flu-dyn)
1801.04462,Probability (math.PR)
1801.00035,Robotics (cs.RO)
1801.04890,Solar and Stellar Astrophysics (astro-ph.SR)
1801.09368,Solar and Stellar Astrophysics (astro-ph.SR)
1801.04753,Instrumentation and Detectors (physics.ins-det)
1801.05290,Physics and Society (physics.soc-ph)
1801.08026,Social and Information Networks (cs.SI)
1801.02595,Probability (math.PR)
1801.09641,Differential Geometry (math.DG)
1801.05678,Computer Vision and Pattern Recognition (cs.CV)
1801.05159,Learning (cs.LG)
1801.04645,Probability (math.PR)
1801.03163,Information Theory (cs.IT)
1801.03334,Nuclear Theory (nucl-th)
1801.06003,General Relativity and Quantum Cosmology (gr-qc)
1801.07934,Atomic Physics (physics.atom-ph)
1801.00638,Number Theory (math.NT)
1801.10362,High Energy Physics - Experiment (hep-ex)
1801.07864,Robotics (cs.RO)
1801.04891,Databases (cs.DB)
1801.09107,High Energy Physics - Theory (hep-th)
1801.00107,Functional Analysis (math.FA)
